sbox_index,input_binary,input_decimal,output_binary,output_decimal,plaintext_hex,key_hex,ciphertext_hex,description
0,000110,6,0001,1,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 0
0,001101,13,1101,13,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 1
0,111001,57,1010,10,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 2
0,101001,41,0100,4,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 3
0,000000,0,1110,14,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 4
0,011010,26,1001,9,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 5
0,100101,37,1000,8,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 6
0,111101,61,0110,6,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 7
0,110110,54,0111,7,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 8
0,110010,50,1100,12,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 9
0,111110,62,0000,0,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 10
0,010010,18,1010,10,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 11
0,101001,41,0100,4,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 12
0,010010,18,1010,10,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 13
0,011001,25,1001,9,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 14
0,111110,62,0000,0,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 0 transform for round 15
1,000011,3,1101,13,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 0
1,100101,37,1010,10,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 1
1,011010,26,0000,0,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 2
1,110101,53,0111,7,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 3
1,101110,46,0001,1,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 4
1,111011,59,0101,5,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 5
1,001110,14,0100,4,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 6
1,001001,9,1111,15,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 7
1,111111,63,1001,9,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 8
1,101011,43,1111,15,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 9
1,010011,19,0000,0,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 10
1,000101,5,0100,4,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 11
1,001110,14,0100,4,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 12
1,111011,59,0101,5,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 13
1,100110,38,1011,11,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 14
1,010100,20,0010,2,72ed98ba7526add0,5eb2557e832c07e8,abff965d034f8775,S-box 1 transform for round 15
0,001001,9,1110,14,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 0
0,110111,55,1110,14,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 1
0,100101,37,1000,8,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 2
0,111000,56,0011,3,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 3
0,001010,10,1111,15,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 4
0,100000,32,0100,4,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 5
0,111011,59,0000,0,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 6
0,110000,48,1111,15,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 7
0,101001,41,0100,4,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 8
0,100001,33,1111,15,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 9
0,010101,21,1100,12,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 10
0,000001,1,0000,0,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 11
0,010011,19,0110,6,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 12
0,011100,28,0000,0,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 13
0,101111,47,0111,7,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 14
0,011110,30,0111,7,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 0 transform for round 15
1,100100,36,0111,7,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 0
1,101001,41,0011,3,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 1
1,111110,62,1111,15,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 2
1,101100,44,1101,13,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 3
1,110101,53,0111,7,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 4
1,100110,38,1011,11,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 5
1,000000,0,1111,15,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 6
1,110001,49,1011,11,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 7
1,010110,22,1101,13,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 8
1,100100,36,0111,7,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 9
1,111010,58,0011,3,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 10
1,111000,56,1001,9,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 11
1,111001,57,0000,0,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 12
1,010111,23,1010,10,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 13
1,010110,22,1101,13,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 14
1,001010,10,1011,11,d602e4233cb701cc,9eb83b97c23313ea,537e8f164ba6e40d,S-box 1 transform for round 15
0,011000,24,0101,5,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 0
0,111101,61,0110,6,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 1
0,110101,53,0011,3,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 2
0,000100,4,1101,13,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 3
0,111001,57,1010,10,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 4
0,011000,24,0101,5,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 5
0,110110,54,0111,7,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 6
0,010001,17,1010,10,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 7
0,000000,0,1110,14,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 8
0,100110,38,1000,8,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 9
0,010101,21,1100,12,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 10
0,001111,15,0001,1,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 11
0,011010,26,1001,9,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 12
0,100110,38,1000,8,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 13
0,011010,26,1001,9,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 14
0,011010,26,1001,9,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 0 transform for round 15
1,010000,16,1001,9,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 0
1,001111,15,1110,14,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 1
1,001101,13,1000,8,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 2
1,110011,51,0110,6,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 3
1,101110,46,0001,1,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 4
1,110001,49,1011,11,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 5
1,011111,31,0101,5,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 6
1,111011,59,0101,5,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 7
1,101111,47,0010,2,82ccfb7686f31548,62f617f907f0935e,03cd090a92b884e8,S-box 1 transform for round 8
